"Pågående sjukfall efter region, kön, ålder och år"

"region";"kön";"ålder";"2014"
"2029 Leksand";"totalt";"samtliga åldrar";265
"2031 Rättvik";"totalt";"samtliga åldrar";214
"2034 Orsa";"totalt";"samtliga åldrar";145
"2039 Älvdalen";"totalt";"samtliga åldrar";126
"2061 Smedjebacken";"totalt";"samtliga åldrar";249
"2062 Mora";"totalt";"samtliga åldrar";439
"2080 Falun";"totalt";"samtliga åldrar";1137
"2081 Borlänge";"totalt";"samtliga åldrar";908
"2082 Säter";"totalt";"samtliga åldrar";229
"2083 Hedemora";"totalt";"samtliga åldrar";345
"2084 Avesta";"totalt";"samtliga åldrar";391
"2085 Ludvika";"totalt";"samtliga åldrar";623
"2101 Ockelbo";"totalt";"samtliga åldrar";132
"2104 Hofors";"totalt";"samtliga åldrar";173
"2121 Ovanåker";"totalt";"samtliga åldrar";176
"2132 Nordanstig";"totalt";"samtliga åldrar";196
"2161 Ljusdal";"totalt";"samtliga åldrar";396
"2180 Gävle";"totalt";"samtliga åldrar";1792
"2181 Sandviken";"totalt";"samtliga åldrar";608
"2182 Söderhamn";"totalt";"samtliga åldrar";421
"2183 Bollnäs";"totalt";"samtliga åldrar";489
"2184 Hudiksvall";"totalt";"samtliga åldrar";886
"2260 Ånge";"totalt";"samtliga åldrar";243
"2262 Timrå";"totalt";"samtliga åldrar";421
"2280 Härnösand";"totalt";"samtliga åldrar";482
"2281 Sundsvall";"totalt";"samtliga åldrar";2403
"2282 Kramfors";"totalt";"samtliga åldrar";445
"2283 Sollefteå";"totalt";"samtliga åldrar";392
"2284 Örnsköldsvik";"totalt";"samtliga åldrar";932
"2303 Ragunda";"totalt";"samtliga åldrar";154
"2305 Bräcke";"totalt";"samtliga åldrar";185
"2309 Krokom";"totalt";"samtliga åldrar";373
"2313 Strömsund";"totalt";"samtliga åldrar";248
"2321 Åre";"totalt";"samtliga åldrar";203
"2326 Berg";"totalt";"samtliga åldrar";177
"2361 Härjedalen";"totalt";"samtliga åldrar";173
"2380 Östersund";"totalt";"samtliga åldrar";1536
"2401 Nordmaling";"totalt";"samtliga åldrar";137
"2403 Bjurholm";"totalt";"samtliga åldrar";37
"2404 Vindeln";"totalt";"samtliga åldrar";117
"2409 Robertsfors";"totalt";"samtliga åldrar";162
"2417 Norsjö";"totalt";"samtliga åldrar";95
"2418 Malå";"totalt";"samtliga åldrar";83
"2421 Storuman";"totalt";"samtliga åldrar";146
"2422 Sorsele";"totalt";"samtliga åldrar";70
"2425 Dorotea";"totalt";"samtliga åldrar";63
"2460 Vännäs";"totalt";"samtliga åldrar";241
"2462 Vilhelmina";"totalt";"samtliga åldrar";165
"2463 Åsele";"totalt";"samtliga åldrar";48
