Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lyckeby;65120;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1990-01-01 00:00:00;2016-01-31 23:59:59;25.0;56.2142;15.713

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;66.4;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;21.7;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;82.7;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;67.2;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;66.4;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;33.0;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;110.8;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;36.6;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;69.9;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;66.1;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;54.3;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;39.5;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;50.7;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;62.2;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;46.8;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;34.9;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;132.6;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;80.3;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;28.5;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;46.5;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;129.1;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;35.7;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;35.2;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;42.4;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;31.3;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;25.0;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;89.5;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;44.0;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;34.3;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;29.1;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;83.9;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;120.3;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;71.8;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;59.9;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;41.2;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;28.1;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;42.5;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;24.8;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;56.1;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;33.1;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;110.4;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;209.2;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;46.3;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;44.7;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;63.4;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;84.4;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;88.4;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;29.6;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;21.9;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;64.1;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;30.1;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;104.2;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;0.5;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;19.3;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;170.3;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;84.9;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;44.2;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;15.0;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;13.0;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;2.6;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;58.8;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;41.4;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;77.4;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;68.5;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;34.6;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;29.0;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;51.9;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;70.4;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;58.9;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;75.2;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;13.0;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;40.1;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;24.3;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;36.8;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;45.1;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;78.5;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;90.0;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;25.2;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;115.7;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;63.0;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;35.0;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;51.5;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;93.5;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;29.4;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;1.8;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;44.1;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;30.1;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;39.5;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;75.5;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;23.4;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;40.0;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;53.2;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;93.8;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;28.0;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;47.9;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;38.5;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;68.1;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;58.6;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;43.4;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;12.7;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;203.0;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;14.3;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;74.1;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;104.0;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;47.0;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;121.0;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;74.6;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;29.6;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;15.3;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;40.7;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;66.9;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;245.9;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;52.7;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;100.0;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;22.5;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;40.4;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;77.3;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;66.6;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;20.5;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;57.8;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;21.6;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;19.6;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;32.4;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;28.7;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;112.3;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;70.3;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;87.6;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;42.6;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;64.2;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;18.6;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;32.5;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;51.3;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;3.3;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;76.5;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;66.9;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;61.1;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;34.8;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;32.1;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;58.4;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;78.8;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;66.4;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;38.6;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;80.2;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;26.2;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;11.7;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;59.9;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;31.4;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;143.0;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;46.2;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;47.8;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;63.9;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;163.2;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;99.4;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;52.4;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;19.7;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;19.6;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;10.6;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;43.0;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;67.6;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;131.6;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;72.1;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;57.8;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;29.6;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;10.7;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;100.9;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;77.6;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;58.0;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;2.2;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;49.9;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;29.3;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;47.3;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;74.6;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;30.9;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;59.9;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;88.4;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;88.7;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;108.7;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;34.3;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;36.9;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;22.6;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;37.2;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;45.4;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;48.3;Y
