Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Visby D;78390;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1876-07-01 06:00:01;1876-08-01 06:00:00;1876-07;24.0;G
1876-08-01 06:00:01;1876-09-01 06:00:00;1876-08;61.0;G
1876-09-01 06:00:01;1876-10-01 06:00:00;1876-09;81.0;G
1876-10-01 06:00:01;1876-11-01 06:00:00;1876-10;30.0;G
1876-11-01 06:00:01;1876-12-01 06:00:00;1876-11;37.0;G
1876-12-01 06:00:01;1877-01-01 06:00:00;1876-12;37.0;G
1877-01-01 06:00:01;1877-02-01 06:00:00;1877-01;63.0;G
1877-02-01 06:00:01;1877-03-01 06:00:00;1877-02;45.0;G
1877-03-01 06:00:01;1877-04-01 06:00:00;1877-03;30.0;G
1877-04-01 06:00:01;1877-05-01 06:00:00;1877-04;13.0;G
1877-05-01 06:00:01;1877-06-01 06:00:00;1877-05;55.0;G
1877-06-01 06:00:01;1877-07-01 06:00:00;1877-06;20.0;G
1877-07-01 06:00:01;1877-08-01 06:00:00;1877-07;60.0;G
1877-08-01 06:00:01;1877-09-01 06:00:00;1877-08;78.0;G
1877-09-01 06:00:01;1877-10-01 06:00:00;1877-09;65.0;G
1877-10-01 06:00:01;1877-11-01 06:00:00;1877-10;57.0;G
1877-11-01 06:00:01;1877-12-01 06:00:00;1877-11;89.0;G
1877-12-01 06:00:01;1878-01-01 06:00:00;1877-12;53.0;G
1878-01-01 06:00:01;1878-02-01 06:00:00;1878-01;61.0;G
1878-02-01 06:00:01;1878-03-01 06:00:00;1878-02;2.0;G
1878-03-01 06:00:01;1878-04-01 06:00:00;1878-03;44.0;G
1878-04-01 06:00:01;1878-05-01 06:00:00;1878-04;13.0;G
1878-05-01 06:00:01;1878-06-01 06:00:00;1878-05;29.0;G
1878-06-01 06:00:01;1878-07-01 06:00:00;1878-06;49.0;G
1878-07-01 06:00:01;1878-08-01 06:00:00;1878-07;47.0;G
1878-08-01 06:00:01;1878-09-01 06:00:00;1878-08;46.0;G
1878-09-01 06:00:01;1878-10-01 06:00:00;1878-09;27.0;G
1878-10-01 06:00:01;1878-11-01 06:00:00;1878-10;81.0;G
1878-11-01 06:00:01;1878-12-01 06:00:00;1878-11;102.0;G
1878-12-01 06:00:01;1879-01-01 06:00:00;1878-12;86.0;G
1879-01-01 06:00:01;1879-02-01 06:00:00;1879-01;29.0;G
1879-02-01 06:00:01;1879-03-01 06:00:00;1879-02;37.0;G
1879-03-01 06:00:01;1879-04-01 06:00:00;1879-03;21.0;G
1879-04-01 06:00:01;1879-05-01 06:00:00;1879-04;38.0;G
1879-05-01 06:00:01;1879-06-01 06:00:00;1879-05;29.0;G
1879-06-01 06:00:01;1879-07-01 06:00:00;1879-06;3.0;G
1879-07-01 06:00:01;1879-08-01 06:00:00;1879-07;44.0;G
1879-08-01 06:00:01;1879-09-01 06:00:00;1879-08;95.0;G
1879-09-01 06:00:01;1879-10-01 06:00:00;1879-09;34.0;G
1879-10-01 06:00:01;1879-11-01 06:00:00;1879-10;38.0;G
1879-11-01 06:00:01;1879-12-01 06:00:00;1879-11;51.0;G
1879-12-01 06:00:01;1880-01-01 06:00:00;1879-12;20.0;G
1880-01-01 06:00:01;1880-02-01 06:00:00;1880-01;17.0;G
1880-02-01 06:00:01;1880-03-01 06:00:00;1880-02;34.0;G
1880-03-01 06:00:01;1880-04-01 06:00:00;1880-03;12.0;G
1880-04-01 06:00:01;1880-05-01 06:00:00;1880-04;23.0;G
1880-05-01 06:00:01;1880-06-01 06:00:00;1880-05;12.0;G
1880-06-01 06:00:01;1880-07-01 06:00:00;1880-06;26.0;G
1880-07-01 06:00:01;1880-08-01 06:00:00;1880-07;38.0;G
1880-08-01 06:00:01;1880-09-01 06:00:00;1880-08;30.0;G
1880-09-01 06:00:01;1880-10-01 06:00:00;1880-09;24.0;G
1880-10-01 06:00:01;1880-11-01 06:00:00;1880-10;80.0;G
