Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kållered D;72360;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1994-04-01 00:00:00;2016-03-02 09:00:00;30.0;57.6095;12.0673

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;65.5;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;133.4;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;82.9;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;47.7;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;87.7;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;92.7;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;57.3;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;67.5;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;55.9;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;48.9;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;104.7;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;65.9;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;32.6;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;103.6;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;147.4;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;56.7;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;234.7;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;187.1;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;229.7;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;141.4;Y
