Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm;98210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1786-02-01 00:00:00;2016-03-02 10:00:00;44.0;59.342;18.0575

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1794-05-02 06:00:01;1794-06-01 06:00:00;1794-05;180.0;G
1794-06-01 06:00:01;1794-07-01 06:00:00;1794-06;24.0;G
1794-07-02 06:00:01;1794-08-01 06:00:00;1794-07;115.0;G
1794-08-02 06:00:01;1794-09-01 06:00:00;1794-08;119.0;G
1794-09-01 06:00:01;1794-10-01 06:00:00;1794-09;79.0;G
1794-10-02 06:00:01;1794-11-01 06:00:00;1794-10;88.0;G
1794-11-01 06:00:01;1794-12-01 06:00:00;1794-11;78.0;G
1794-12-02 06:00:01;1795-01-01 06:00:00;1794-12;21.0;G
1795-01-02 06:00:01;1795-02-01 06:00:00;1795-01;8.0;G
1795-01-30 06:00:01;1795-03-01 06:00:00;1795-02;29.0;G
1795-03-02 06:00:01;1795-04-01 06:00:00;1795-03;6.0;G
1795-04-01 06:00:01;1795-05-01 06:00:00;1795-04;9.0;G
1795-05-02 06:00:01;1795-06-01 06:00:00;1795-05;80.0;G
1795-06-01 06:00:01;1795-07-01 06:00:00;1795-06;33.0;G
1795-07-02 06:00:01;1795-08-01 06:00:00;1795-07;147.0;G
1795-08-02 06:00:01;1795-09-01 06:00:00;1795-08;113.0;G
1795-09-01 06:00:01;1795-10-01 06:00:00;1795-09;15.0;G
1795-10-02 06:00:01;1795-11-01 06:00:00;1795-10;69.0;G
1795-11-01 06:00:01;1795-12-01 06:00:00;1795-11;99.0;G
1795-12-02 06:00:01;1796-01-01 06:00:00;1795-12;68.0;G
1796-01-02 06:00:01;1796-02-01 06:00:00;1796-01;60.0;G
1796-01-31 06:00:01;1796-03-01 06:00:00;1796-02;22.0;G
1796-03-02 06:00:01;1796-04-01 06:00:00;1796-03;13.0;G
1796-04-01 06:00:01;1796-05-01 06:00:00;1796-04;12.0;G
1796-05-02 06:00:01;1796-06-01 06:00:00;1796-05;90.0;G
1796-06-01 06:00:01;1796-07-01 06:00:00;1796-06;89.0;G
1796-07-02 06:00:01;1796-08-01 06:00:00;1796-07;123.0;G
1796-08-02 06:00:01;1796-09-01 06:00:00;1796-08;22.0;G
1796-09-01 06:00:01;1796-10-01 06:00:00;1796-09;58.0;G
1796-10-02 06:00:01;1796-11-01 06:00:00;1796-10;42.0;G
1796-11-01 06:00:01;1796-12-01 06:00:00;1796-11;51.0;G
1796-12-02 06:00:01;1797-01-01 06:00:00;1796-12;16.0;G
1797-01-02 06:00:01;1797-02-01 06:00:00;1797-01;25.0;G
1797-01-30 06:00:01;1797-03-01 06:00:00;1797-02;4.0;G
1797-03-02 06:00:01;1797-04-01 06:00:00;1797-03;6.0;G
1797-04-01 06:00:01;1797-05-01 06:00:00;1797-04;2.0;G
1797-05-02 06:00:01;1797-06-01 06:00:00;1797-05;62.0;G
1797-06-01 06:00:01;1797-07-01 06:00:00;1797-06;64.0;G
1797-07-02 06:00:01;1797-08-01 06:00:00;1797-07;54.0;G
1797-08-02 06:00:01;1797-09-01 06:00:00;1797-08;145.0;G
1797-09-01 06:00:01;1797-10-01 06:00:00;1797-09;83.0;G
1797-10-02 06:00:01;1797-11-01 06:00:00;1797-10;46.0;G
1797-11-01 06:00:01;1797-12-01 06:00:00;1797-11;39.0;G
1797-12-02 06:00:01;1798-01-01 06:00:00;1797-12;97.0;G
1798-01-02 06:00:01;1798-02-01 06:00:00;1798-01;22.0;G
1798-01-30 06:00:01;1798-03-01 06:00:00;1798-02;11.0;G
1798-03-02 06:00:01;1798-04-01 06:00:00;1798-03;7.0;G
1798-04-01 06:00:01;1798-05-01 06:00:00;1798-04;22.0;G
1798-05-02 06:00:01;1798-06-01 06:00:00;1798-05;3.0;G
1798-06-01 06:00:01;1798-07-01 06:00:00;1798-06;5.0;G
1798-07-02 06:00:01;1798-08-01 06:00:00;1798-07;116.0;G
1798-08-02 06:00:01;1798-09-01 06:00:00;1798-08;96.0;G
1798-09-01 06:00:01;1798-10-01 06:00:00;1798-09;56.0;G
1798-10-02 06:00:01;1798-11-01 06:00:00;1798-10;28.0;G
1798-11-01 06:00:01;1798-12-01 06:00:00;1798-11;20.0;G
1798-12-02 06:00:01;1799-01-01 06:00:00;1798-12;7.0;G
1799-01-02 06:00:01;1799-02-01 06:00:00;1799-01;4.0;G
1799-01-30 06:00:01;1799-03-01 06:00:00;1799-02;22.0;G
1799-03-02 06:00:01;1799-04-01 06:00:00;1799-03;1.0;G
1799-04-01 06:00:01;1799-05-01 06:00:00;1799-04;61.0;G
1799-05-02 06:00:01;1799-06-01 06:00:00;1799-05;48.0;G
1799-06-01 06:00:01;1799-07-01 06:00:00;1799-06;35.0;G
1799-07-02 06:00:01;1799-08-01 06:00:00;1799-07;90.0;G
1799-08-02 06:00:01;1799-09-01 06:00:00;1799-08;98.0;G
1799-09-01 06:00:01;1799-10-01 06:00:00;1799-09;154.0;G
1799-10-02 06:00:01;1799-11-01 06:00:00;1799-10;104.0;G
