Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Väse D;93210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1972-08-01 00:00:00;2016-02-29 23:59:59;55.0;59.3675;13.8534

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1986-04-01 06:00:01;1986-05-01 06:00:00;1986-04;62.4;Y
1986-05-01 06:00:01;1986-06-01 06:00:00;1986-05;34.7;Y
1986-06-01 06:00:01;1986-07-01 06:00:00;1986-06;24.6;Y
1986-07-01 06:00:01;1986-08-01 06:00:00;1986-07;63.5;Y
1986-08-01 06:00:01;1986-09-01 06:00:00;1986-08;90.6;Y
1986-09-01 06:00:01;1986-10-01 06:00:00;1986-09;63.9;Y
1986-10-01 06:00:01;1986-11-01 06:00:00;1986-10;46.1;Y
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;105.4;Y
1986-12-01 06:00:01;1987-01-01 06:00:00;1986-12;55.3;Y
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;9.3;Y
1987-02-01 06:00:01;1987-03-01 06:00:00;1987-02;51.1;Y
1987-03-01 06:00:01;1987-04-01 06:00:00;1987-03;67.4;Y
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;15.0;Y
1987-05-01 06:00:01;1987-06-01 06:00:00;1987-05;102.9;Y
1987-06-01 06:00:01;1987-07-01 06:00:00;1987-06;105.4;Y
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;65.5;Y
1987-08-01 06:00:01;1987-09-01 06:00:00;1987-08;129.7;Y
1987-09-01 06:00:01;1987-10-01 06:00:00;1987-09;72.1;Y
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;89.2;Y
1987-12-01 06:00:01;1988-01-01 06:00:00;1987-12;37.3;Y
1988-01-01 06:00:01;1988-02-01 06:00:00;1988-01;82.3;Y
1988-02-01 06:00:01;1988-03-01 06:00:00;1988-02;80.5;Y
1988-03-01 06:00:01;1988-04-01 06:00:00;1988-03;38.6;Y
1988-04-01 06:00:01;1988-05-01 06:00:00;1988-04;35.3;Y
1988-05-01 06:00:01;1988-06-01 06:00:00;1988-05;18.0;Y
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;41.6;Y
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;189.7;Y
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;118.3;Y
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;66.4;Y
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;103.3;Y
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;30.6;Y
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;54.8;Y
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;6.3;Y
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;46.6;Y
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;63.1;Y
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;47.5;Y
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;44.6;Y
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;30.9;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;32.2;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;56.9;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;8.7;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;60.6;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;42.0;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;42.0;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;60.6;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;79.1;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;22.7;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;56.7;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;5.5;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;130.9;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;40.5;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;76.4;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;90.1;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;53.9;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;59.4;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;42.0;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;39.8;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;17.7;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;34.9;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;39.8;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;8.0;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;111.7;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;37.6;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;64.6;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;68.2;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;22.3;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;77.3;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;24.2;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;25.7;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;28.9;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;30.6;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;118.6;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;17.4;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;3.8;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;56.3;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;77.7;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;35.5;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;72.3;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;98.1;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;24.1;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;54.4;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;34.7;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;3.7;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;27.0;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;32.3;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;38.0;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;96.3;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;119.6;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;20.3;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;103.8;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;36.6;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;81.8;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;75.5;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;8.3;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;56.5;Y
